Date,Open,High,Low,Close,Volume
11/2/2017,57500,57520,56760,57060,214421
11/3/2017,57060,57140,55860,56380,198716
11/6/2017,56380,56500,55340,56380,180019
11/7/2017,56380,56920,55860,56100,149291
11/8/2017,56100,57060,55860,56760,170404
11/9/2017,56920,56920,55900,56340,239881
11/10/2017,55800,56540,55780,56400,134976
11/13/2017,56400,56800,56100,56380,176133
11/14/2017,56380,56740,55920,55920,134500
11/15/2017,55920,56320,55320,55340,176339
11/16/2017,55440,56000,55400,55780,152814
11/17/2017,56400,56880,55820,55820,214663
11/20/2017,55900,55980,55200,55200,189455
11/21/2017,55400,55840,55280,55280,206494
11/22/2017,55980,56200,55620,55960,159059
11/23/2017,55960,55980,55020,55300,125458
11/24/2017,55300,55500,55180,55460,90724
11/27/2017,55360,55360,52640,52640,362578
11/28/2017,52700,53280,51720,53280,269988
11/29/2017,53200,53240,52500,52600,191805
11/30/2017,50800,51860,50200,50800,592683
12/1/2017,50800,51780,50800,50840,257372
12/4/2017,50840,51340,50020,51340,297301
12/5/2017,50600,51300,50280,51260,186531
12/6/2017,51260,51560,50020,50020,217784
12/7/2017,50040,50980,50020,50740,221312
12/8/2017,51360,52000,51040,52000,225809
12/11/2017,52000,52040,51500,51780,162517
12/12/2017,51820,52100,51660,52100,175301
12/13/2017,52100,52100,51100,51320,226674
12/14/2017,51320,52280,51060,51060,406208
12/15/2017,51240,51480,50520,50620,298571
12/18/2017,50620,51240,50620,51200,147005
12/19/2017,51540,52080,51520,51560,239572
12/20/2017,51500,51760,50820,50880,201611
12/21/2017,51000,51060,49100,49140,312486
12/22/2017,49400,49960,49240,49700,223993
12/26/2017,49760,50100,48200,48200,320797
12/27/2017,48960,49560,48460,49360,214872
12/28/2017,49560,50960,49500,50960,179709
01/2/2018,51380,51400,50780,51020,169485
01/3/2018,52540,52560,51420,51620,200270
01/4/2018,52120,52180,50640,51080,233909
01/5/2018,51300,52120,51200,52120,189623
01/8/2018,52400,52520,51500,52020,167673
01/9/2018,51460,51720,49980,50400,360272
01/10/2018,50500,50520,48640,48840,371336
01/11/2018,48200,49260,48020,48240,502476
01/12/2018,48240,48480,46760,48200,545409
1/15/2018,48800,48980,47920,48540,201920
1/16/2018,48760,50140,48620,50000,407793
1/17/2018,50020,50020,49060,49620,221061
1/18/2018,50020,50640,49820,49900,296977
1/19/2018,50380,50380,49040,49320,184399
1/22/2018,48640,48680,47960,48240,250418
1/23/2018,48660,49160,48300,49160,270654
1/24/2018,48860,49700,48560,49340,191010
1/25/2018,49220,50360,49160,50260,223207
1/26/2018,50500,50780,49840,50780,207002
1/29/2018,51200,51480,50900,51220,236776
1/30/2018,50440,50640,49780,49800,245691
1/31/2018,50020,54140,49600,49900,1293626
02/1/2018,50620,50960,49720,49820,552189
02/2/2018,49380,49400,47700,47700,585207
02/5/2018,46500,48320,46000,47920,567158
02/6/2018,46600,47920,46580,47420,388129
02/7/2018,48240,48260,45800,45800,468961
02/8/2018,46120,46620,45980,46000,465021
02/9/2018,44440,45180,44420,44700,349300
02/12/2018,45100,46320,45040,45720,315099
2/13/2018,46200,48060,46200,47540,378465
2/14/2018,48080,49100,47940,49000,378118
2/19/2018,49800,49800,47860,48380,307069
2/20/2018,48040,48160,47220,47400,202452
2/21/2018,47280,47580,46840,47280,257604
2/22/2018,47260,47260,46760,46760,177399
2/23/2018,46760,47800,46760,47220,248466
2/26/2018,47280,47560,47080,47380,191213
2/27/2018,48360,48380,47380,47380,196611
2/28/2018,47380,48100,47000,47060,303247
03/2/2018,46580,46800,46000,46020,265310
03/5/2018,45820,46160,45080,45200,282019
03/6/2018,45920,47100,45820,47020,308467
03/7/2018,48200,48900,47220,48620,428541
03/8/2018,49200,49480,48080,49200,389273
03/9/2018,49440,50540,49240,49740,286088
03/12/2018,50560,50780,49580,49740,173779
3/13/2018,50760,51660,50360,51660,401974
3/14/2018,51020,52000,51000,51760,254265
3/15/2018,52000,52020,51020,51540,177649
3/16/2018,51220,51420,50240,51140,243698
3/19/2018,50620,51340,50440,50740,164377
3/20/2018,50700,51200,50100,51200,163865
3/21/2018,51780,51780,51060,51060,178104
3/22/2018,51060,51780,51040,51780,169082
3/23/2018,50340,50720,49600,49720,297099
3/26/2018,49420,50280,49040,50280,201155
3/27/2018,50320,50460,49080,49980,237480
3/28/2018,49100,49100,48340,48700,303189
3/29/2018,48700,49560,48320,49040,201340
3/30/2018,49080,49900,49080,49220,155542
04/2/2018,49000,49220,48500,48540,142313
04/3/2018,47880,48140,47280,48120,255365
04/4/2018,48160,48260,46920,46920,247684
04/5/2018,47400,49380,47340,48740,264912
04/6/2018,48000,48580,47400,48400,250654
04/9/2018,48260,49440,48200,49200,199008
04/10/2018,48540,49220,48040,48880,219687
04/11/2018,49900,49900,48600,48860,201022
04/12/2018,49440,49440,48880,49000,249325
4/13/2018,49600,50180,49400,49800,205566
4/16/2018,50320,50600,49860,50340,157549
4/17/2018,50240,50540,49820,49980,155440
4/18/2018,51000,51360,50580,51360,269252
4/19/2018,52000,52980,51540,52780,343811
4/20/2018,51800,52260,51420,51620,235220
4/23/2018,51000,52080,51000,51900,232380
4/24/2018,51840,51860,50080,50460,315406
4/25/2018,49220,50500,49220,50400,332292
4/26/2018,50420,52160,50400,52140,360931
4/27/2018,53380,53640,52440,53000,606216
05/4/2018,53000,53900,51800,51900,39565391
05/8/2018,52600,53200,51900,52600,23104720
05/9/2018,52600,52800,50900,50900,16128305
05/10/2018,51700,51700,50600,51600,13905263
05/11/2018,52000,52200,51200,51300,10314997
5/14/2018,51000,51100,49900,50100,14909272
5/15/2018,50200,50400,49100,49200,18709146
5/16/2018,49200,50200,49150,49850,15918683
5/17/2018,50300,50500,49400,49400,10365440
5/18/2018,49900,49900,49350,49500,6706570
5/21/2018,49650,50200,49100,50000,9020998
5/23/2018,50600,52000,50400,51800,17095490
5/24/2018,52000,52000,51100,51400,8289275
5/25/2018,51000,52800,50800,52700,15207266
5/28/2018,52500,53000,52000,52300,9787820
5/29/2018,52200,52500,51300,51300,8480437
5/30/2018,51300,51500,49100,49500,20498098
5/31/2018,50400,50800,49850,50700,63491109
06/1/2018,50500,51700,49950,51300,13038499
06/4/2018,50800,51200,50700,51100,9767171
06/5/2018,51100,51400,50400,51300,9144100
06/7/2018,51800,51800,50500,50600,13590016
06/8/2018,50200,50400,49600,49650,16951706
06/11/2018,49750,50300,49350,49900,10571312
06/12/2018,49700,49800,49250,49400,12110569
6/14/2018,49000,49000,48200,48200,20971729
