Date,Open,High,Low,Close,Adj Close,Volume
2017-12-21,51000.000000,51060.000000,49100.000000,49140.000000,42257.640625,15624300
2017-12-22,49400.000000,49960.000000,49240.000000,49700.000000,42739.214844,11199650
2017-12-26,49760.000000,50100.000000,48200.000000,48200.000000,41449.296875,16039850
2017-12-27,48960.000000,49560.000000,48460.000000,49360.000000,42828.902344,10743600
2017-12-28,49560.000000,50960.000000,49500.000000,50960.000000,44217.203125,8985450
2018-01-02,51380.000000,51400.000000,50780.000000,51020.000000,44269.269531,8474250
2018-01-03,52540.000000,52560.000000,51420.000000,51620.000000,44789.882813,10013500
2018-01-04,52120.000000,52180.000000,50640.000000,51080.000000,44321.324219,11695450
2018-01-05,51300.000000,52120.000000,51200.000000,52120.000000,45223.718750,9481150
2018-01-08,52400.000000,52520.000000,51500.000000,52020.000000,45136.949219,8383650
2018-01-09,51460.000000,51720.000000,49980.000000,50400.000000,43731.300781,18013600
2018-01-10,50500.000000,50520.000000,48640.000000,48840.000000,42377.714844,18566800
2018-01-11,48200.000000,49260.000000,48020.000000,48240.000000,41857.105469,25123800
2018-01-12,48240.000000,48480.000000,46760.000000,48200.000000,41822.398438,27270450
2018-01-15,48800.000000,48980.000000,47920.000000,48540.000000,42117.406250,10096000
2018-01-16,48760.000000,50140.000000,48620.000000,50000.000000,43384.234375,20389650
2018-01-17,50020.000000,50020.000000,49060.000000,49620.000000,43054.511719,11053050
2018-01-18,50020.000000,50640.000000,49820.000000,49900.000000,43297.457031,14848850
2018-01-19,50380.000000,50380.000000,49040.000000,49320.000000,42794.210938,9219950
2018-01-22,48640.000000,48680.000000,47960.000000,48240.000000,41857.105469,12520900
2018-01-23,48660.000000,49160.000000,48300.000000,49160.000000,42655.378906,13532700
2018-01-24,48860.000000,49700.000000,48560.000000,49340.000000,42811.550781,9550500
2018-01-25,49220.000000,50360.000000,49160.000000,50260.000000,43609.820313,11160350
2018-01-26,50500.000000,50780.000000,49840.000000,50780.000000,44061.011719,10350100
2018-01-29,51200.000000,51480.000000,50900.000000,51220.000000,44442.804688,11838800
2018-01-30,50440.000000,50640.000000,49780.000000,49800.000000,43210.695313,12284550
2018-01-31,50020.000000,54140.000000,49600.000000,49900.000000,43297.457031,64681300
2018-02-01,50620.000000,50960.000000,49720.000000,49820.000000,43228.050781,27609450
2018-02-02,49380.000000,49400.000000,47700.000000,47700.000000,41388.550781,29260350
2018-02-05,46500.000000,48320.000000,46000.000000,47920.000000,41579.445313,28357900
2018-02-06,46600.000000,47920.000000,46580.000000,47420.000000,41145.593750,19406450
2018-02-07,48240.000000,48260.000000,45800.000000,45800.000000,39739.949219,23448050
2018-02-08,46120.000000,46620.000000,45980.000000,46000.000000,39913.492188,23251050
2018-02-09,44440.000000,45180.000000,44420.000000,44700.000000,38785.500000,17465000
2018-02-12,45100.000000,46320.000000,45040.000000,45720.000000,39670.531250,15754950
2018-02-13,46200.000000,48060.000000,46200.000000,47540.000000,41249.726563,18923250
2018-02-14,48080.000000,49100.000000,47940.000000,49000.000000,42516.554688,18905900
2018-02-19,49800.000000,49800.000000,47860.000000,48380.000000,41978.570313,15353450
2018-02-20,48040.000000,48160.000000,47220.000000,47400.000000,41128.246094,10122600
2018-02-21,47280.000000,47580.000000,46840.000000,47280.000000,41024.125000,12880200
2018-02-22,47260.000000,47260.000000,46760.000000,46760.000000,40572.921875,8869950
2018-02-23,46760.000000,47800.000000,46760.000000,47220.000000,40972.066406,12423300
2018-02-26,47280.000000,47560.000000,47080.000000,47380.000000,41110.894531,9560650
2018-02-27,48360.000000,48380.000000,47380.000000,47380.000000,41110.894531,9830550
2018-02-28,47380.000000,48100.000000,47000.000000,47060.000000,40833.238281,15162350
2018-03-02,46580.000000,46800.000000,46000.000000,46020.000000,39930.843750,13265500
2018-03-05,45820.000000,46160.000000,45080.000000,45200.000000,39219.339844,14100950
2018-03-06,45920.000000,47100.000000,45820.000000,47020.000000,40798.531250,15423350
2018-03-07,48200.000000,48900.000000,47220.000000,48620.000000,42186.824219,21427050
2018-03-08,49200.000000,49480.000000,48080.000000,49200.000000,42690.078125,19463650
2018-03-09,49440.000000,50540.000000,49240.000000,49740.000000,43158.628906,14304400
2018-03-12,50560.000000,50780.000000,49580.000000,49740.000000,43158.628906,8688950
2018-03-13,50760.000000,51660.000000,50360.000000,51660.000000,44824.578125,20098700
2018-03-14,51020.000000,52000.000000,51000.000000,51760.000000,44911.359375,12713250
2018-03-15,52000.000000,52020.000000,51020.000000,51540.000000,44720.460938,8882450
2018-03-16,51220.000000,51420.000000,50240.000000,51140.000000,44373.390625,12184900
2018-03-19,50620.000000,51340.000000,50440.000000,50740.000000,44026.312500,8218850
2018-03-20,50700.000000,51200.000000,50100.000000,51200.000000,44425.449219,8193250
2018-03-21,51780.000000,51780.000000,51060.000000,51060.000000,44303.968750,8905200
2018-03-22,51060.000000,51780.000000,51040.000000,51780.000000,44928.707031,8454100
2018-03-23,50340.000000,50720.000000,49600.000000,49720.000000,43141.269531,14854950
2018-03-26,49420.000000,50280.000000,49040.000000,50280.000000,43627.175781,10057750
2018-03-27,50320.000000,50460.000000,49080.000000,49980.000000,43366.871094,11874000
2018-03-28,49100.000000,49100.000000,48340.000000,48700.000000,42256.238281,15159450
2018-03-29,48700.000000,49560.000000,48320.000000,49040.000000,42862.812500,10067000
2018-03-30,49080.000000,49900.000000,49080.000000,49220.000000,43020.148438,7777100
2018-04-02,49000.000000,49220.000000,48500.000000,48540.000000,42425.800781,7115650
2018-04-03,47880.000000,48140.000000,47280.000000,48120.000000,42058.703125,12768250
2018-04-04,48160.000000,48260.000000,46920.000000,46920.000000,41009.855469,12384200
2018-04-05,47400.000000,49380.000000,47340.000000,48740.000000,42600.609375,13245600
2018-04-06,48000.000000,48580.000000,47400.000000,48400.000000,42303.429688,12532700
2018-04-09,48260.000000,49440.000000,48200.000000,49200.000000,43002.667969,9950400
2018-04-10,48540.000000,49220.000000,48040.000000,48880.000000,42722.968750,10984350
2018-04-11,49900.000000,49900.000000,48600.000000,48860.000000,42705.496094,10051100
2018-04-12,49440.000000,49440.000000,48880.000000,49000.000000,42827.867188,12466250
2018-04-13,49600.000000,50180.000000,49400.000000,49800.000000,43527.097656,10278300
2018-04-16,50320.000000,50600.000000,49860.000000,50340.000000,43999.070313,7877450
2018-04-17,50240.000000,50540.000000,49820.000000,49980.000000,43684.414063,7772000
2018-04-18,51000.000000,51360.000000,50580.000000,51360.000000,44890.582031,13462600
2018-04-19,52000.000000,52980.000000,51540.000000,52780.000000,46131.718750,17190550
2018-04-20,51800.000000,52260.000000,51420.000000,51620.000000,45117.843750,11761000
2018-04-23,51000.000000,52080.000000,51000.000000,51900.000000,45362.566406,11619000
2018-04-24,51840.000000,51860.000000,50080.000000,50460.000000,44103.960938,15770300
2018-04-25,49220.000000,50500.000000,49220.000000,50400.000000,44051.515625,16614600
2018-04-26,50420.000000,52160.000000,50400.000000,52140.000000,45572.339844,18046550
2018-04-27,53380.000000,53640.000000,52440.000000,53000.000000,46324.003906,30310800
2018-04-30,53000.000000,53000.000000,53000.000000,53000.000000,46324.003906,0
