"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-01","39",,"29"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-02","39",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-03","37",,"28"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-04","38",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-05","40",,"32"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-06","41",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-07","42",,"32"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-08","43",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-09","31",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-10","24",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-11","29",,"15"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-12","25",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-13","20",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-14","16",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-15","21",,"11"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-16","26",,"16"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-17","30",,"19"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-18","30",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-19","31",,"23"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-20","21",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-21","23",,"14"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-22","15",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-23","17",,"9"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-24","20",,"11"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-25","24",,"14"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-26","33",,"18"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-27","24",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-28","33",,"17"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-29","31",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-30","20",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-31","24",,"14"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-01","24",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-02","31",,"15"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-03","34",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-04","35",,"27"
